Sr no.,Type,Course Code,Course Name,Instructor(s),Venue,Slot,Division,Biometric Attendance Enabled?,Registration Limit,Restrictions,,,,,,,Division
46,Instructor information not avilable,HS 699,Communication and Presentation Skills,,,,,, 0,,,,,,,,
,,,,,,,,,,,,,,,,,
47,timetable,HS 706,Classical Indian Thought in Modern Times,I - Rajkishore Nath,  ,6,,, 50,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,Fri-6B-11:05:00-12:30:00,,,,,,,,,,,
,,,,,,Wed-6A-11:05:00-12:30:00,,,,,,,,,,,
48,Instructor information not avilable,HS 791,Communication Skills -I,,,,,, 0,,,,,,,,
,,,,,,,,,,,,,,,,,
49,Instructor information not avilable,HS 791,Communication Skills -I,,,, S1,, 0,,,,,,,,
,,,,,,,,,,,,,,,,,
50,timetable,HS 792,Communication Skills -II,A - Paulomi Chakraborty,  ,4,,, 0,,,,,,,,
,,,,A - Ramesh Bairy,,,,,,,,,,,,,
,,,,A - Suryakant Waghmore,,,,,,,,,,,,,
,,,,I - Siby K.George,,Mon-4A-11:35:00-12:30:00,,,,,,,,,,,
,,,,,,Thu-4C-09:30:00-10:25:00,,,,,,,,,,,
,,,,,,Tue-4B-08:30:00-09:25:00,,,,,,,,,,,
51,timetable,HS 800,Research Methods in Social Sciences,I - Ramesh Bairy,  ,10,,, 0,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,Fri-10B-14:00:00-15:25:00,,,,,,,,,,,
,,,,,,Tue-10A-14:00:00-15:25:00,,,,,,,,,,,
52,timetable,HS 802,Advanced Economic Theory,I - Surajit Bhattacharya,  ,11,,, 0,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,Fri-11B-15:30:00-16:55:00,,,,,,,,,,,
,,,,,,Tue-11A-15:30:00-16:55:00,,,,,,,,,,,
53,timetable,HS 807,Phenomenology and Existentialism,I - Siby K.George,  ,9,,, 0,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,Mon-9A-15:30:00-16:55:00,,,,,,,,,,,
,,,,,,Thu-9B-15:30:00-16:55:00,,,,,,,,,,,
54,timetable,HS 811,Literary Theory,I - Paulomi Chakraborty,  ,11,,, 0,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,Fri-11B-15:30:00-16:55:00,,,,,,,,,,,
,,,,,,Tue-11A-15:30:00-16:55:00,,,,,,,,,,,
55,timetable,HS 824,Cultural Studies,I - Ratheesh R.,  ,8,,, 0,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,Mon-8A-14:00:00-15:25:00,,,,,,,,,,,
,,,,,,Thu-8B-14:00:00-15:25:00,,,,,,,,,,,
56,timetable,HS 842,Philosophy of Language in Sanskrit Literature,I - Kulkarni A Malhar,  ,9,,, 0,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,Mon-9A-15:30:00-16:55:00,,,,,,,,,,,
,,,,,,Thu-9B-15:30:00-16:55:00,,,,,,,,,,,
57,timetable,HS 847,Algorithms in Indian Astronomy,I - K. Ramasubramanian,  ,11,,, 0,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,Fri-11B-15:30:00-16:55:00,,,,,,,,,,,
,,,,,,Tue-11A-15:30:00-16:55:00,,,,,,,,,,,
58,timetable,HS 849,Theories of Human Development,I - Mrinmoyi Kulkarni,  ,12,,, 0,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,Mon-12A-17:30:00-18:55:00,,,,,,,,,,,
,,,,,,Thu-12B-17:30:00-18:55:00,,,,,,,,,,,
59,timetable,HSS801,Seminar,I - Ramesh Bairy,  ,,,, 0,,,,,,,,
