,Course Code,Course Name,Division,Division.1,Instructor(s),Registration Limit,Restrictions,Slot,Slot_code,Time,Type,Venue
41,EE 719,Mixed-Signal VLSI Design,,,I - Rajesh H. Zele, 0,,1 Mon-1A-08:30:00-09:25:00 Thu-1C-10:35:00-11:30:00 Tue-1B-09:30:00-10:25:00,1,Mon-1A-08:30:00-09:25:00 Thu-1C-10:35:00-11:30:00 Tue-1B-09:30:00-10:25:00,timetable,  
42,EE 722,Restructured Power Systems,,,I - Anupama Kowli, 0,,9 Mon-9A-15:30:00-16:55:00 Thu-9B-15:30:00-16:55:00,9,Mon-9A-15:30:00-16:55:00 Thu-9B-15:30:00-16:55:00,timetable,  
43,EE 724,Nanoelectronics,,,I - Bhaskaran Muralidharan, 0,,12 Mon-12A-17:30:00-18:55:00 Thu-12B-17:30:00-18:55:00,1, Mon-12A-17:30:00-18:55:00 Thu-12B-17:30:00-18:55:00,timetable,  
44,EE 727,Physics of Nanoscale Devices - II,,,I - Ashwin Tulapurkar, 0,,13 Mon-13A-19:00:00-20:25:00 Thu-13B-19:00:00-20:25:00,1, Mon-13A-19:00:00-20:25:00 Thu-13B-19:00:00-20:25:00,timetable,  
45,EE 728,Growth and Characterization of Nano-electronic Materials,,,I - S. Chakrabarti, 0,,2 Mon-2A-09:30:00-10:25:00 Thu-2C-11:35:00-12:30:00 Tue-2B-10:35:00-11:30:00,2,Mon-2A-09:30:00-10:25:00 Thu-2C-11:35:00-12:30:00 Tue-2B-10:35:00-11:30:00,timetable,  
46,EE 735,Microelectronics Simulations Lab,,,I - Pradeep R. Nair, 0,,LX Wed-LX-14:00:00-16:55:00,LX, Wed-LX-14:00:00-16:55:00,timetable,  
47,EE 736,Introduction to Stochastic Optimization,,,I - Vivek S. Borkar, 0,,9 Mon-9A-15:30:00-16:55:00 Thu-9B-15:30:00-16:55:00,9,Mon-9A-15:30:00-16:55:00 Thu-9B-15:30:00-16:55:00,timetable,  
48,EE 737,Introduction to Stochastic Control,,,I - Manjunath D., 0,,5 Fri-5B-09:30:00-10:55:00 Wed-5A-09:30:00-10:55:00,5,Fri-5B-09:30:00-10:55:00 Wed-5A-09:30:00-10:55:00,timetable,  
49,EE 739,Processor Design,,,I - Virendra Singh, 0,,4 Mon-4A-11:35:00-12:30:00 Thu-4C-09:30:00-10:25:00 Tue-4B-08:30:00-09:25:00,4,Mon-4A-11:35:00-12:30:00 Thu-4C-09:30:00-10:25:00 Tue-4B-08:30:00-09:25:00,timetable,  
50,EE 763,Science of Information Statistics and Learning,,,I - Manoj Gopalkrish, 0,,11 Fri-11B-15:30:00-16:55:00 Tue-11A-15:30:00-16:55:00,1, Fri-11B-15:30:00-16:55:00 Tue-11A-15:30:00-16:55:00,timetable,  
51,EE 764,Wireless & Mobile Communication,,,I - P.Chaporkar, 0,,1 Mon-1A-08:30:00-09:25:00 Thu-1C-10:35:00-11:30:00 Tue-1B-09:30:00-10:25:00,1,Mon-1A-08:30:00-09:25:00 Thu-1C-10:35:00-11:30:00 Tue-1B-09:30:00-10:25:00,timetable,  
52,EE 767,Photonics System Engineering,,,I - Kasturi Saha, 0,,9 Mon-9A-15:30:00-16:55:00 Thu-9B-15:30:00-16:55:00,9,Mon-9A-15:30:00-16:55:00 Thu-9B-15:30:00-16:55:00,timetable,  
53,EE 769,Introduction to Machine Learning,,,I - Amit Sethi, 0,,14 Fri-14B-17:30:00-18:55:00 Tue-14A-17:30:00-18:55:00,1, Fri-14B-17:30:00-18:55:00 Tue-14A-17:30:00-18:55:00,timetable,  
54,EE 777,Network Security,,,I - Gaurav S. Kasbekar, 0,,4 Mon-4A-11:35:00-12:30:00 Thu-4C-09:30:00-10:25:00 Tue-4B-08:30:00-09:25:00,4,Mon-4A-11:35:00-12:30:00 Thu-4C-09:30:00-10:25:00 Tue-4B-08:30:00-09:25:00,timetable,  
